Основная категория,Подкатегория,Пример вопроса,Целевая аудитория,Шаблонный ответ,is_original
Продукты - Кредиты,Потребительские - Легко платить,Предоставляются ли какие-либо дополнительные услуги при оформлении кредита Легко платить?,новые клиенты,"Льготные месяцы - это период в начале кредита, когда вы платите по сниженной ставке и можете не погашать основной долг.",False
Продукты - Вклады,Валютные - EUR,В каком банке можно открыть вклад в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Какой минимальный срок вклада в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Как часто начисляются проценты на вклад в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Могу ли я открыть вклад в евро онлайн?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Существуют ли какие-то специальные предложения по вкладам в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Можно ли менять условия вклада в евро после его открытия?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Как закрыть вклад в евро раньше срока?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Есть ли автоматическая пролонгация вклада в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,Как рассчитать доходность по вкладу в евро?,новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Валютные - EUR,"Что происходит с вкладом в евро, если я не успею его закрыть вовремя?",новые клиенты,"Да, банк ВТБ (Беларусь) принимает вклады в евро на различные сроки.",False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Что делать, если я забыл пароль от интернет-банка и не могу открыть вклад 'Мои условия онлайн'?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,Могу ли я открыть вклад 'Мои условия онлайн' на имя третьего лица через интернет-банк?,новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,Есть ли минимальная сумма для открытия вклада 'Мои условия онлайн' через мобильное приложение?,новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Какую процентную ставку я получу, если открою вклад 'Мои условия онлайн' через интернет-банк?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Если у меня есть действующий рублевый вклад, могу ли я открыть 'Мои условия онлайн' без его закрытия?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,Какой необходимый пакет документов для открытия вклада 'Мои условия онлайн'?,новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Можно ли открыть вклад 'Мои условия онлайн' с мобильного телефона, если у меня нестабильное интернет-соединение?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Если я открою вклад 'Мои условия онлайн', могу ли я пополнять его через интернет-банк?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,"Как я могу закрыть вклад 'Мои условия онлайн', если планирую уехать за границу?",новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Продукты - Вклады,Рублевые - Мои условия онлайн,Какие преимущества у вклада 'Мои условия онлайн' по сравнению с другими вкладами в ВТБ?,новые клиенты,Онлайн вклад 'Мои условия онлайн' можно открыть через Интернет-банк или мобильное приложение VTB mBank без посещения отделения.,False
Новые клиенты,Регистрация и онбординг,"Как мне открыть счет в банке ВТБ через мобильное приложение, если я не знаю, как его использовать?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Что делать, если у меня нет паспорта, но я хочу зарегистрироваться как новый клиент ВТБ?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Возможно ли открыть счет в ВТБ без посещения отделения банка, и какие шаги для этого нужно выполнить?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Я впервые открываю счет в ВТБ, могу ли я зарегистрироваться с помощью своего телефона, и что для этого нужно?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Как подтверждается моя личность при регистрации в банке ВТБ через МСИ, и что для этого потребуется?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,Существуют ли возрастные ограничения для регистрации нового клиента в банке ВТБ онлайн?,новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Что делать, если я указал неправильные данные при регистрации в ВТБ, как это исправить?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Как долго может занять процесс регистрации нового клиента в банке, и когда я смогу начать использовать свои услуги?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,"Какие преимущества я получу, зарегистрировавшись в ВТБ онлайн, по сравнению с регистрацией в отделении?",новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Новые клиенты,Регистрация и онбординг,Нужно ли мне предоставлять какую-либо дополнительную информацию для регистрации в мобильном приложении VTB mBank?,новые клиенты,Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.,False
Продукты - Кредиты,Потребительские - Дальше - меньше,Какие условия необходимо выполнить для получения кредита 'Дальше - меньше' и как они могут повлиять на процентную ставку?,новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,Существует ли возможность досрочного погашения кредита 'Дальше - меньше' без штрафных санкций?,новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,Как часто происходит снижение процентной ставки по кредиту 'Дальше - меньше' и какие факторы на это влияют?,новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Что произойдет, если я просрочу выплату по кредиту 'Дальше - меньше'? Будут ли штрафы или изменения в процентной ставке?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Могу ли я получить консультацию по кредиту 'Дальше - меньше' непосредственно в отделении банка, и какие документы мне нужно взять с собой?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Как начисляются проценты по кредиту 'Дальше - меньше': ежемесячно или ежегодно, и как это влияет на общую сумму выплат?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,Имеет ли значение моя кредитная история при оформлении кредита 'Дальше - меньше' и как это может повлиять на ставку?,новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Предоставляет ли банк какие-либо программы лояльности для клиентов, которые оформляют кредит 'Дальше - меньше'?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Есть ли ограничения по сумме кредита 'Дальше - меньше', и как они могут влиять на выбор сроков погашения?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Кредиты,Потребительские - Дальше - меньше,"Какие дополнительные услуги могут быть предложены вместе с кредитом 'Дальше - меньше', так как это может улучшить условия займа?",новые клиенты,"Кредит 'Дальше - меньше' предоставляется с процентной ставкой, которая ежегодно снижается, делая кредит более выгодным с течением времени.",False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Где можно получить кредитную карту Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Каковы условия для получения карты Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Что нужно знать о комиссии по карте Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Как быстро можно получить кредитную карту Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Есть ли возможность увеличить лимит по карте Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Можно ли подключить безконтактную технологию к карте Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Какие документы нужны для оформления карты Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Как проверить баланс на кредитной карте Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Карты,Кредитные карты - Портмоне 2.0,Какие бонусы предлагаются владельцам карты Портмоне 2.0?,новые клиенты,Кредитную карту Портмоне 2.0 можно оформить в любом отделении банка. Используется карточка мгновенного выпуска.,False
Продукты - Вклады,Рублевые - Подушка безопасности,"Какие условия необходимо выполнить, чтобы забрать деньги с вклада 'Подушка безопасности'?",новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Какова минимальная сумма для открытия вклада 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,"Есть ли ограничения на количество раз, когда я могу снять деньги с данного вклада?",новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Как происходит начисление процентов на вклад 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Можно ли сделать частичное снятие средств с вклада 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Как вклад 'Подушка безопасности' защищает мои средства?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Как часто происходят изменения в условиях вклада 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Можно ли перевести средства с вклада 'Подушка безопасности' на другой счет?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Как избежать налогового обложения на доходы от вклада 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Вклады,Рублевые - Подушка безопасности,Есть ли дополнительные комиссии при управлении вкладом 'Подушка безопасности'?,новые клиенты,Условный вклад 'Подушка безопасности' позволяет изымать средства при наступлении определенных жизненных обстоятельств без потери процентов.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Какую максимальную сумму кредита можно получить в возрасте старше 50 лет, если у меня уже есть пенсионный доход?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Как изменить условия кредита 'Всё только начинается', если у меня есть другие источники дохода, кроме пенсии?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Какие документы необходимо предоставить, если я хочу оформить кредит для пенсионеров и моему супругу также больше 50 лет?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,Есть ли возможность досрочного погашения кредита 'Всё только начинается' и какие штрафы могут при этом возникнуть?,новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Можно ли оформить кредит 'Всё только начинается' на улучшение жилищных условий, если я имею ипотеку на другое жильё?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,Какой минимальный срок кредита 'Всё только начинается' и какие проценты по нему применяются для заемщиков старше 50 лет?,новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,Есть ли возможность получения страховки для кредита 'Всё только начинается' и какая она будет для пенсионеров?,новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Если я неработающий пенсионер, могу ли я получить этот кредит и какие дополнительные условия для этого могут потребоваться?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Есть ли возрастные ограничения для оформления кредита 'Всё только начинается', если я планирую взять его на длительный срок?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Кредиты,Потребительские - Всё только начинается,"Как происходит процесс оценки платежеспособности при получении кредита 'Всё только начинается', если я пенсионер с небольшим доходом?",новые клиенты,Кредит 'Всё только начинается' предназначен для клиентов старше 50 лет и предоставляет особые льготные условия.,False
Продукты - Вклады,Валютные - RUB,Какой минимальный размер вклада в рублях у вас?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Можно ли пополнять рублевый вклад после его открытия?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Какую доходность я могу ожидать от рублевого вклада на 6 месяцев?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Есть ли возможность закрыть рублевый вклад раньше срока?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Какие условия для открытия рублевого вклада для физических лиц?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Можно ли снять деньги с рублевого вклада без потери процентов?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Как часто начисляются проценты по рублевым вкладам?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Какие преимущества есть у рублевых вкладов по сравнению с другими валютами?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Нужно ли платить налог на доходы по рублевым вкладам?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - RUB,Предоставляете ли вы консультации по выбору рублевого вклада?,новые клиенты,"Да, банк принимает вклады в российских рублях на различные сроки и условия.",False
Продукты - Вклады,Валютные - USD,"Какой срок вклада в USD я могу выбрать, если хочу получить максимальную процентную ставку?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,"Можно ли открыть вклад в USD, если я уже имею вклад в другой валюте?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,Как влияет изменение процентной ставки на мой вклад в USD?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,"Доступен ли автопродление для долларовых вкладов, и как это работает?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,"Какой порядок закрытия вклада в USD, если мне срочно понадобятся деньги?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,Можно ли получить выписку по долларовым вкладам через интернет-банк?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,Как влияет курс доллара на доходность моего вклада в USD?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,Могу ли я перевести средства с моего доллара вклада на другой счет в USD?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,Есть ли особые условия для пенсионеров при открытии вклада в USD?,новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Вклады,Валютные - USD,"Как я могу внести дополнительные средства на мой долларовый вклад, и есть ли ограничения?",новые клиенты,Процентные ставки по валютным вкладам в USD регулярно обновляются в соответствии с рыночной ситуацией.,False
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,"Если я хочу взять кредит на покупку автомобиля, могу ли я сделать это онлайн?",новые клиенты,"Онлайн кредит можно оформить через сайт vtb.by или мобильное приложение VTB mBank, заполнив заявку и загрузив необходимые документы.",False
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,"Могу ли я оформить онлайн кредит, если у меня есть кредит в другом банке?",новые клиенты,"Онлайн кредит можно оформить через сайт vtb.by или мобильное приложение VTB mBank, заполнив заявку и загрузив необходимые документы.",False
